cash_flow,supporting_type,fund_type,description,state,year,value,mode,deflator,chained,population,value_per_pop,chained_per_pop,value_crore,population_crore
Revenue,Supporting,Non-Trust Fund,State general funds,Kentucky,2020,6031000.0,Highways,106.515,5662113.31737314,4506302,1.338347940284517,1.256487762554116,0.6,0.45063
Revenue,Supporting,Non-Trust Fund,State general funds,Kentucky,2021,6087000.0,Highways,116.734,5214419.106686997,4507583,1.350391107606893,1.156810447347724,0.61,0.45076
Revenue,Supporting,Non-Trust Fund,State general funds,Kentucky,2022,14374000.0,Highways,128.921,11149463.62501067,4519233,3.180628217221816,2.467114137511977,1.44,0.45192
Revenue,Supporting,Non-Trust Fund,State general funds,Louisiana,2020,93500000.0,Highways,106.515,87781063.69994836,4657874,20.07353569461089,18.84573599456498,9.35,0.46579
Revenue,Supporting,Non-Trust Fund,State general funds,Louisiana,2021,58910000.0,Highways,116.734,50465160.10759504,4627971,12.72912038558582,10.90438123047768,5.89,0.4628
Revenue,Supporting,Non-Trust Fund,State general funds,Louisiana,2022,226784000.0,Highways,128.921,175909277.7747613,4593687,49.36862263362741,38.29370128499423,22.68,0.45937
Revenue,Supporting,Non-Trust Fund,State general funds,Maine,2020,682611861.8412056,Highways,106.515,235179482.22019693,1363196,112.19132970310568,38.134588913698366,68.26,0.13632
Revenue,Supporting,Non-Trust Fund,State general funds,Maine,2021,682611861.8412056,Highways,116.734,235179482.22019693,1378931,112.19132970310568,38.134588913698366,68.26,0.13789
Revenue,Supporting,Non-Trust Fund,State general funds,Maine,2022,682611861.8412056,Highways,128.921,235179482.22019693,1390922,112.19132970310568,38.134588913698366,68.26,0.13909
Revenue,Supporting,Non-Trust Fund,State general funds,Maryland,2020,321314000.0,Highways,106.515,301660798.9485049,6181629,51.97885541173694,48.79956382832177,32.13,0.61816
Revenue,Supporting,Non-Trust Fund,State general funds,Maryland,2021,477436000.0,Highways,116.734,408994808.7104014,6179403,77.26247988681108,66.18678353077173,47.74,0.61794
Revenue,Supporting,Non-Trust Fund,State general funds,Maryland,2022,490317000.0,Highways,128.921,380323609.0318878,6192440,79.17993553429666,61.41740719843676,49.03,0.61924
Revenue,Supporting,Non-Trust Fund,State general funds,Massachusetts,2020,352716000.0,Highways,106.515,331142092.6630052,7033132,50.15062990428731,47.08316190610459,35.27,0.70331
Revenue,Supporting,Non-Trust Fund,State general funds,Massachusetts,2021,682611861.8412056,Highways,116.734,235179482.22019693,7000474,112.19132970310568,38.134588913698366,68.26,0.70005
Revenue,Supporting,Non-Trust Fund,State general funds,Massachusetts,2022,682611861.8412056,Highways,128.921,235179482.22019693,7022468,112.19132970310568,38.134588913698366,68.26,0.70225
Revenue,Supporting,Non-Trust Fund,State general funds,Minnesota,2020,18586000.0,Highways,106.515,17449185.56071915,5706692,3.256878065260925,3.057670811867742,1.86,0.57067
Revenue,Supporting,Non-Trust Fund,State general funds,Minnesota,2021,39052000.0,Highways,116.734,33453835.21510442,5718660,6.828872498102703,5.84994303125285,3.91,0.57187
Revenue,Supporting,Non-Trust Fund,State general funds,Minnesota,2022,15730000.0,Highways,128.921,12201270.54552788,5721621,2.749220893869063,2.132484927877586,1.57,0.57216
Revenue,Supporting,Non-Trust Fund,State general funds,Mississippi,2020,682611861.8412056,Highways,106.515,235179482.22019693,2961278,112.19132970310568,38.134588913698366,68.26,0.29613
Revenue,Supporting,Non-Trust Fund,State general funds,Mississippi,2021,682611861.8412056,Highways,116.734,235179482.22019693,2947209,112.19132970310568,38.134588913698366,68.26,0.29472
Revenue,Supporting,Non-Trust Fund,State general funds,Mississippi,2022,682611861.8412056,Highways,128.921,235179482.22019693,2941939,112.19132970310568,38.134588913698366,68.26,0.29419
Revenue,Supporting,Non-Trust Fund,State general funds,Missouri,2020,54293000.0,Highways,106.515,50972163.5450406,6154854,8.821167813241386,8.281620253712045,5.43,0.61549
Revenue,Supporting,Non-Trust Fund,State general funds,Missouri,2021,49948000.0,Highways,116.734,42787876.71115527,6171374,8.09349749342691,6.93328207157033,4.99,0.61714
Revenue,Supporting,Non-Trust Fund,State general funds,Missouri,2022,49979000.0,Highways,128.921,38767151.97679199,6179414,8.087983747326202,6.273596813029843,5.0,0.61794
Revenue,Supporting,Non-Trust Fund,State general funds,Montana,2020,1385000.0,Highways,106.515,1300286.344646294,1084216,1.277420735351627,1.199287175845306,0.14,0.10842
Revenue,Supporting,Non-Trust Fund,State general funds,Montana,2021,1188000.0,Highways,116.734,1017698.356948276,1106522,1.073634324486996,0.919727178445865,0.12,0.11065
Revenue,Supporting,Non-Trust Fund,State general funds,Montana,2022,2456000.0,Highways,128.921,1905042.623001683,1122095,2.18876298352635,1.697755201655549,0.25,0.11221
Revenue,Supporting,Non-Trust Fund,State general funds,Nebraska,2020,44639000.0,Highways,106.515,41908651.3636577,1961996,22.75183027896081,21.36021243858688,4.46,0.1962
Revenue,Supporting,Non-Trust Fund,State general funds,Nebraska,2021,37766000.0,Highways,116.734,32352185.3101924,1964537,19.22386801572075,16.46809671194404,3.78,0.19645
Revenue,Supporting,Non-Trust Fund,State general funds,Nebraska,2022,46276000.0,Highways,128.921,35894850.3347011,1972246,23.46360443879719,18.19998637832253,4.63,0.19722
Revenue,Supporting,Non-Trust Fund,State general funds,Nevada,2020,682611861.8412056,Highways,106.515,235179482.22019693,3105595,112.19132970310568,38.134588913698366,68.26,0.31056
Revenue,Supporting,Non-Trust Fund,State general funds,Nevada,2021,682611861.8412056,Highways,116.734,235179482.22019693,3148141,112.19132970310568,38.134588913698366,68.26,0.31481
Revenue,Supporting,Non-Trust Fund,State general funds,Nevada,2022,682611861.8412056,Highways,128.921,235179482.22019693,3176116,112.19132970310568,38.134588913698366,68.26,0.31761
Revenue,Supporting,Non-Trust Fund,State general funds,New Hampshire,2020,4212000.0,Highways,106.515,3954372.623574144,1377546,3.057611143293944,2.870592069937515,0.42,0.13775
Revenue,Supporting,Non-Trust Fund,State general funds,New Hampshire,2021,13998000.0,Highways,116.734,11991364.98363801,1387677,10.08736182843702,8.641322860894872,1.4,0.13877
Revenue,Supporting,Non-Trust Fund,State general funds,New Hampshire,2022,56396000.0,Highways,128.921,43744618.7975582,1396678,40.37866995828674,31.32047529749749,5.64,0.13967
Revenue,Supporting,Non-Trust Fund,State general funds,New Jersey,2020,86640000.0,Highways,106.515,81340656.24559921,9289014,9.327147100865604,8.756651270586868,8.66,0.9289
Revenue,Supporting,Non-Trust Fund,State general funds,New Jersey,2021,2000.0,Highways,116.734,1713.296897219319,9270541,0.000215737139828,0.000184810886141,0.0,0.92705
Revenue,Supporting,Non-Trust Fund,State general funds,New Jersey,2022,101710000.0,Highways,128.921,78893275.7269956,9295227,10.94217494634612,8.487503933685062,10.17,0.92952
Revenue,Supporting,Non-Trust Fund,State general funds,New Mexico,2022,19417000.0,Highways,128.921,15061161.48649173,2113868,9.1855309792286,7.124929979777227,1.94,0.21139
Revenue,Supporting,Non-Trust Fund,State general funds,North Carolina,2020,682611861.8412056,Highways,106.515,235179482.22019693,10441499,112.19132970310568,38.134588913698366,68.26,1.04415
Revenue,Supporting,Non-Trust Fund,State general funds,North Carolina,2021,682611861.8412056,Highways,116.734,235179482.22019693,10564320,112.19132970310568,38.134588913698366,68.26,1.05643
Revenue,Supporting,Non-Trust Fund,State general funds,North Carolina,2022,682611861.8412056,Highways,128.921,235179482.22019693,10710793,112.19132970310568,38.134588913698366,68.26,1.07108
Revenue,Supporting,Non-Trust Fund,State general funds,North Dakota,2020,10875000.0,Highways,106.515,10209829.60146458,779046,13.9593810891783,13.1055542310269,1.09,0.0779
Revenue,Supporting,Non-Trust Fund,State general funds,North Dakota,2021,18166000.0,Highways,116.734,15561875.71744308,777966,23.35063486064944,20.00328512742597,1.82,0.0778
Revenue,Supporting,Non-Trust Fund,State general funds,North Dakota,2022,14048000.0,Highways,128.921,10896595.58954709,781057,17.98588323259378,13.95108883160523,1.4,0.07811
Revenue,Supporting,Non-Trust Fund,State general funds,Ohio,2020,524110000.0,Highways,106.515,492052762.5217105,11799453,44.41816074016312,41.70131975793374,52.41,1.17995
Revenue,Supporting,Non-Trust Fund,State general funds,Ohio,2021,592643000.0,Highways,116.734,507686706.5293745,11767344,50.3633615198128,43.14369551271506,59.26,1.17673
Revenue,Supporting,Non-Trust Fund,State general funds,Ohio,2022,629399000.0,Highways,128.921,488205179.9163829,11777874,53.43910114847552,41.45104455323456,62.94,1.17779
Revenue,Supporting,Non-Trust Fund,State general funds,Oklahoma,2020,682611861.8412056,Highways,106.515,235179482.22019693,3959405,112.19132970310568,38.134588913698366,68.26,0.39594
Revenue,Supporting,Non-Trust Fund,State general funds,Oklahoma,2021,682611861.8412056,Highways,116.734,235179482.22019693,3992238,112.19132970310568,38.134588913698366,68.26,0.39922
Revenue,Supporting,Non-Trust Fund,State general funds,Oklahoma,2022,682611861.8412056,Highways,128.921,235179482.22019693,4026229,112.19132970310568,38.134588913698366,68.26,0.40262
Revenue,Supporting,Non-Trust Fund,State general funds,Oregon,2020,51077000.0,Highways,106.515,47952870.48772473,4237224,12.05435445470903,11.31704872995261,5.11,0.42372
Revenue,Supporting,Non-Trust Fund,State general funds,Oregon,2021,54112000.0,Highways,116.734,46354960.8511659,4254280,12.71942608384968,10.89607662193506,5.41,0.42543
Revenue,Supporting,Non-Trust Fund,State general funds,Oregon,2022,79099000.0,Highways,128.921,61354628.02801716,4247372,18.62304502643046,14.44531536866023,7.91,0.42474
Revenue,Supporting,Non-Trust Fund,State general funds,Rhode Island,2020,90895000.0,Highways,106.515,85335398.77012627,1097354,82.83106454252685,77.76469468387253,9.09,0.10974
Revenue,Supporting,Non-Trust Fund,State general funds,Rhode Island,2021,61064000.0,Highways,116.734,52310380.86590025,1097246,55.65205979333714,47.67425068389426,6.11,0.10972
Revenue,Supporting,Non-Trust Fund,State general funds,Rhode Island,2022,67085000.0,Highways,128.921,52035742.8192459,1099498,61.01420830233434,47.32681898397805,6.71,0.10995
Revenue,Supporting,Non-Trust Fund,State general funds,South Carolina,2020,135000.0,Highways,106.515,126742.7122940431,5118252,0.02637619249697,0.024762890200413,0.01,0.51183
Revenue,Supporting,Non-Trust Fund,State general funds,South Carolina,2021,57000.0,Highways,116.734,48828.96157075059,5194274,0.010973622107729,0.009400536354214,0.01,0.51943
Revenue,Supporting,Non-Trust Fund,State general funds,South Carolina,2022,102507000.0,Highways,128.921,79511483.77688663,5287935,19.38507186642801,15.03639582878508,10.25,0.52879
Revenue,Supporting,Non-Trust Fund,State general funds,South Dakota,2020,682611861.8412056,Highways,106.515,235179482.22019693,886729,112.19132970310568,38.134588913698366,68.26,0.08867
Revenue,Supporting,Non-Trust Fund,State general funds,South Dakota,2021,682611861.8412056,Highways,116.734,235179482.22019693,896492,112.19132970310568,38.134588913698366,68.26,0.08965
Revenue,Supporting,Non-Trust Fund,State general funds,South Dakota,2022,682611861.8412056,Highways,128.921,235179482.22019693,909723,112.19132970310568,38.134588913698366,68.26,0.09097
Revenue,Supporting,Non-Trust Fund,State general funds,Tennessee,2020,682611861.8412056,Highways,106.515,235179482.22019693,6912347,112.19132970310568,38.134588913698366,68.26,0.69123
Revenue,Supporting,Non-Trust Fund,State general funds,Tennessee,2021,682611861.8412056,Highways,116.734,235179482.22019693,6965740,112.19132970310568,38.134588913698366,68.26,0.69657
Revenue,Supporting,Non-Trust Fund,State general funds,Tennessee,2022,682611861.8412056,Highways,128.921,235179482.22019693,7062217,112.19132970310568,38.134588913698366,68.26,0.70622
Revenue,Supporting,Non-Trust Fund,State general funds,Utah,2020,86374000.0,Highways,106.515,81090926.16063465,3271608,26.40108472653203,24.78625989441114,8.64,0.32716
Revenue,Supporting,Non-Trust Fund,State general funds,Utah,2021,90719000.0,Highways,116.734,77714290.6094197,3339738,27.16350803566028,23.2695770175444,9.07,0.33397
Revenue,Supporting,Non-Trust Fund,State general funds,Vermont,2020,55139000.0,Highways,106.515,51766417.87541661,643082,85.74178720598617,80.49738272166941,5.51,0.06431
Revenue,Supporting,Non-Trust Fund,State general funds,Vermont,2022,55682000.0,Highways,128.921,43190791.25976373,648142,85.91018634805336,66.63785290841163,5.57,0.06481
Revenue,Supporting,Non-Trust Fund,State general funds,Virginia,2020,211250000.0,Highways,106.515,198328873.8675304,8631388,24.47462679235367,22.97763394109156,21.12,0.86314
Revenue,Supporting,Non-Trust Fund,State general funds,Virginia,2021,175336000.0,Highways,116.734,150201312.3854233,8658910,20.24919995703847,17.34644572878379,17.53,0.86589
Revenue,Supporting,Non-Trust Fund,State general funds,Virginia,2022,344817000.0,Highways,128.921,267463795.6578059,8683414,39.70984223486293,30.80168648619149,34.48,0.86834
Revenue,Supporting,Non-Trust Fund,State general funds,Washington,2020,682611861.8412056,Highways,106.515,235179482.22019693,7707586,112.19132970310568,38.134588913698366,68.26,0.77076
Revenue,Supporting,Non-Trust Fund,State general funds,Washington,2021,682611861.8412056,Highways,116.734,235179482.22019693,7743760,112.19132970310568,38.134588913698366,68.26,0.77438
Revenue,Supporting,Non-Trust Fund,State general funds,Washington,2022,682611861.8412056,Highways,128.921,235179482.22019693,7794123,112.19132970310568,38.134588913698366,68.26,0.77941
Revenue,Supporting,Non-Trust Fund,State general funds,West Virginia,2020,14819000.0,Highways,106.515,13912594.4702624,1793736,8.261527894851863,7.756210763603119,1.48,0.17937
