cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Hawaii,HI,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,14,1455252,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Hawaii,HI,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,14,1447029,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Hawaii,HI,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,14,1440359,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Idaho,ID,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,16,1839140,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Idaho,ID,2021,Actual,122000000,Highways,116.734,104511110.7,1,0,Other,2017,16,1904848,64.04710507,54.8658532
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Idaho,ID,2022,Actual,136870000,Highways,128.921,106165791.5,1,0,Other,2017,16,1944299,70.3955513,54.60363424
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Illinois,IL,2020,Actual,12492000,Highways,106.515,11727925.64,1,0,Other,2017,17,12821814,0.974277119,0.914685367
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Illinois,IL,2021,Actual,866687000,Highways,116.734,742446074,1,0,Other,2017,17,12700641,68.23962665,58.4573703
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Illinois,IL,2022,Actual,600703000,Highways,128.921,465946587.4,1,0,Other,2017,17,12621821,47.59241951,36.9159559
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Indiana,IN,2020,Actual,102616000,Highways,106.515,96339482.7,1,0,Other,2017,18,6786587,15.12041325,14.19557175
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Indiana,IN,2021,Actual,97046000,Highways,116.734,83134305.34,1,0,Other,2017,18,6815907,14.23816375,12.19710089
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Indiana,IN,2022,Actual,128928000,Highways,128.921,100005429.7,1,0,Other,2017,18,6844545,18.83660638,14.61096825
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Iowa,IA,2020,Actual,65392000,Highways,106.515,61392292.17,1,0,Other,2017,15,3190546,20.49555155,19.24193921
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Iowa,IA,2021,Actual,60058000,Highways,116.734,51448592.53,1,0,Other,2017,15,3198613,18.77626334,16.08465686
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Iowa,IA,2022,Actual,67881000,Highways,128.921,52653175.2,1,0,Other,2017,15,3202820,21.19413517,16.43962983
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kansas,KS,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,19,2937745,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kansas,KS,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,19,2938338,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kansas,KS,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,19,2937324,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kentucky,KY,2020,Actual,6031000,Highways,106.515,5662113.317,1,0,Other,2017,20,4506302,1.33834794,1.256487763
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kentucky,KY,2021,Actual,6087000,Highways,116.734,5214419.107,1,0,Other,2017,20,4507583,1.350391108,1.156810447
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Kentucky,KY,2022,Actual,14374000,Highways,128.921,11149463.63,1,0,Other,2017,20,4519233,3.180628217,2.467114138
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Louisiana,LA,2020,Actual,93500000,Highways,106.515,87781063.7,1,0,Other,2017,21,4657874,20.07353569,18.84573599
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Louisiana,LA,2021,Actual,58910000,Highways,116.734,50465160.11,1,0,Other,2017,21,4627971,12.72912039,10.90438123
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Louisiana,LA,2022,Actual,226784000,Highways,128.921,175909277.8,1,0,Other,2017,21,4593687,49.36862263,38.29370128
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Maine,ME,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,24,1363196,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Maine,ME,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,24,1378931,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Maine,ME,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,24,1390922,0,0
